,Venue Name
0,The Dakota
1,Wellington Hotel
2,Washington Square Hotel
3,The Jane Hotel
4,Astor On The Park
5,The Plaza
6,United Nations Headquarters
7,USS Intrepid
8,Four Points by Sheraton Manhattan
9,"Holiday Inn Manhattan - Financial District, an IHG Hotel"
10,Lincoln Center for the Performing Arts
11,Madison Square Garden
12,Hotel Edison
13,"InterContinental New York Barclay, an IHG Hotel"
14,Trump International Hotel & Tower New York
15,Met Life Tower
16,Fairfield Inn Manhattan
17,Baccarat Hotel
18,Lotte New York Palace
19,Quality Inn & Suites
20,Comfort Suites Manhattan
21,Riley County Museum
22,Hilton Garden Inn
23,Eventi
24,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel"
25,Merchant's House Museum
26,The Bowery Hotel
27,Hyatt Union Square New York
28,SIXTY SoHo
29,NOMO SOHO
30,Sperone Westwater
31,The Hotel @ New York City
32,The Evelyn
33,The Nomad
34,Flatiron Hotel
35,Motto by Hilton New York City Chelsea
36,Wyndham Garden Chinatown
37,Club Wyndham Midtown 45
38,W New York – Union Square
39,Courtyard by Marriott New York Manhattan/SoHo
40,Hotel Mulberry
41,Hilton Garden Inn New York/Tribeca
42,The Roxy Hotel New York
43,FDNY Ladder 8
44,Redford Hotel
45,Hotel Richland LES
46,Gansevoort Meatpacking NYC
47,"The Standard, High Line"
48,Liberty Inn
49,Hyatt Centric Times Square New York
50,Chelsea Pines Inn
51,Hotel 309
52,Dream Downtown
53,Hampton Inn Manhattan-Chelsea
54,Hyatt Place New York / Chelsea
55,The Leo House
56,Selina Chelsea New York City
57,Midtown West Hotel
58,Hotel Indigo
59,Courtyard by Marriott New York Manhattan/Chelsea
60,DoubleTree by Hilton Hotel New York City - Chelsea
61,Stewart Hotel
62,Hotel 17 - Extended Stay
63,Gramercy Park Hotel
64,Lex Hotel NYC
65,Flatiron Building
66,Courtyard by Marriott New York Manhattan/Midtown West
67,Hotel Chandler
68,Best Western Premier Empire State Hotel
69,JW Marriott Essex House New York
70,AKA Central Park
71,1 Hotel Central Park
72,102 W 57th St
73,Warwick New York
74,Conrad New York Midtown
75,Da Vinci Hotel
76,Park Central Hotel New York
77,6 Columbus - Central Park Hotel
78,The New Yorker Hotel
79,The Hotel at Fifth Avenue
80,Life Hotel New York
81,Hotel Wolcott
82,Stanford Hotel - New York
83,New York Manhattan Hotel
84,Hyatt Herald Square New York
85,"Martinique New York on Broadway, Curio Collection by Hilton"
86,The Marmara Park Avenue
87,Hotel 32|32
88,HGU New York
89,Hotel AKA NoMad
90,Marquis Apartments
91,Crowne Plaza HY36 Midtown Manhattan
92,"EVEN Hotel New York - Times Square South, an IHG Hotel"
93,"Staypineapple, An Artful Hotel, Midtown New York"
94,Fairfield Inn & Suites
95,Quality Inn
96,Henn na Hotel New York
97,Doxie Hotel
98,Artel Hotel by The Red Collection Times Square
99,Element New York Times Square West
100,La Quinta Inn & Suites by Wyndham Times Square South
101,Staybridge Suits
102,"Distrikt Hotel New York City, Tapestry Collection by Hilton"
103,DoubleTree by Hilton Hotel New York Times Square West
104,"Candlewood Suites New York City- Times Square, an IHG Hotel"
105,Hotel Hendricks
106,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue
