station_name,lat,lon,remote_unit_id,short_name
Lexington Av/59 St,40.76266,-73.967258,R016,LEXINGTON-53 ST
Lexington Av/59 St,40.76266,-73.967258,R017,LEXINGTON-53 ST
Lexington Av/59 St,40.76266,-73.967258,R017,LEXINGTON-53 ST
Lexington Av/59 St,40.76266,-73.967258,R050,59 ST
Lexington Av/59 St,40.76266,-73.967258,R050,59 ST
Lexington Av/59 St,40.76266,-73.967258,R050,LEXINGTON AVE
Lexington Av/59 St,40.76266,-73.967258,R051,59 ST
Lexington Av/59 St,40.76266,-73.967258,R051,59 ST
Lexington Av/59 St,40.76266,-73.967258,R051,LEXINGTON AVE
59 St,40.762526,-73.967967,R016,LEXINGTON-53 ST
59 St,40.762526,-73.967967,R017,LEXINGTON-53 ST
59 St,40.762526,-73.967967,R017,LEXINGTON-53 ST
59 St,40.762526,-73.967967,R050,59 ST
59 St,40.762526,-73.967967,R050,59 ST
59 St,40.762526,-73.967967,R050,LEXINGTON AVE
59 St,40.762526,-73.967967,R051,59 ST
59 St,40.762526,-73.967967,R051,59 ST
59 St,40.762526,-73.967967,R051,LEXINGTON AVE
5 Av/59 St,40.764811,-73.973347,R079,5 AVE-59 ST
5 Av/59 St,40.764811,-73.973347,R079,5 AVE-59 ST
57 St - 7 Av,40.764664,-73.980658,R080,57 ST-7 AVE
57 St - 7 Av,40.764664,-73.980658,R080,57 ST-7 AVE
49 St,40.759901,-73.984139,R081,49 ST-7 AVE
49 St,40.759901,-73.984139,R081,49 ST-7 AVE
49 St,40.759901,-73.984139,R081,49 ST-7 AVE
49 St,40.759901,-73.984139,R081,49 ST-7 AVE
Times Sq - 42 St,40.754672,-73.986754,R010,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,R010,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,R011,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,R011,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,R011,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,R032,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R032,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R032,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R032,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R033,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R033,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,R033,42 ST-TIMES SQ
